start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
|    learning_rate        | 0.0003       |
|    loss                 | 8.93         |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.00465     |
|    std                  | 0.959        |
|    value_loss           | 18.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -64.7       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 24          |
|    time_elapsed         | 277         |
|    total_timesteps      | 3072        |
| train/                  |             |
|    approx_kl            | 0.007235337 |
|    clip_fraction        | 0.0484      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.13       |
|    explained_variance   | -0.0493     |
|    learning_rate        | 0.0003      |
|    loss                 | 6.83        |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00364    |
|    std                  | 0.958       |
|    value_loss           | 13.9        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -63.7        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 25           |
|    time_elapsed         | 287          |
|    total_timesteps      | 3200         |
| train/                  |              |
|    approx_kl            | 0.0025865817 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.13        |
|    explained_variance   | -0.0329      |
|    learning_rate        | 0.0003       |
|    loss                 | 6.86         |
|    n_updates            | 240          |
|    policy_gradient_loss | 0.00791      |
|    std                  | 0.958        |
|    value_loss           | 14.1         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -62.8       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 26          |
|    time_elapsed         | 299         |
|    total_timesteps      | 3328        |
| train/                  |             |
|    approx_kl            | 0.010436308 |
|    clip_fraction        | 0.032       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.13       |
|    explained_variance   | -0.0213     |
|    learning_rate        | 0.0003      |
|    loss                 | 7.53        |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0147     |
|    std                  | 0.958       |
|    value_loss           | 15.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -60.9       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 27          |
|    time_elapsed         | 310         |
|    total_timesteps      | 3456        |
| train/                  |             |
|    approx_kl            | 0.019512564 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.12       |
|    explained_variance   | -0.0249     |
|    learning_rate        | 0.0003      |
|    loss                 | 7.4         |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0101     |
|    std                  | 0.955       |
|    value_loss           | 15          |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -59.7      |
| time/                   |            |
|    fps                  | 10         |
|    iterations           | 28         |
|    time_elapsed         | 325        |
|    total_timesteps      | 3584       |
| train/                  |            |
|    approx_kl            | 0.01890313 |
|    clip_fraction        | 0.155      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.11      |
|    explained_variance   | -0.0182    |
|    learning_rate        | 0.0003     |
|    loss                 | 7.55       |
|    n_updates            | 270        |
|    policy_gradient_loss | -0.0133    |
|    std                  | 0.951      |
|    value_loss           | 15.2       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -58.8       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 29          |
|    time_elapsed         | 335         |
|    total_timesteps      | 3712        |
| train/                  |             |
|    approx_kl            | 0.019192131 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.1        |
|    explained_variance   | -0.0114     |
|    learning_rate        | 0.0003      |
|    loss                 | 5.2         |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00704    |
|    std                  | 0.948       |
|    value_loss           | 10.5        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -57.3       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 30          |
|    time_elapsed         | 344         |
|    total_timesteps      | 3840        |
| train/                  |             |
|    approx_kl            | 0.013008336 |
|    clip_fraction        | 0.0336      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | -0.00346    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.87        |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00544    |
|    std                  | 0.946       |
|    value_loss           | 9.86        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -56.7        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 31           |
|    time_elapsed         | 358          |
|    total_timesteps      | 3968         |
| train/                  |              |
|    approx_kl            | 0.0028904825 |
|    clip_fraction        | 0.00156      |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.09        |
|    explained_variance   | -0.0116      |
|    learning_rate        | 0.0003       |
|    loss                 | 7.12         |
|    n_updates            | 300          |
|    policy_gradient_loss | -0.00122     |
|    std                  | 0.945        |
|    value_loss           | 14.3         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -56         |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 32          |
|    time_elapsed         | 369         |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.022916222 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | -0.00548    |
|    learning_rate        | 0.0003      |
|    loss                 | 8.17        |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00563    |
|    std                  | 0.944       |
|    value_loss           | 16.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -55.5       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 33          |
|    time_elapsed         | 380         |
|    total_timesteps      | 4224        |
| train/                  |             |
|    approx_kl            | 0.010042034 |
|    clip_fraction        | 0.0234      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.08       |
|    explained_variance   | -0.00873    |
|    learning_rate        | 0.0003      |
|    loss                 | 6.25        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.00716    |
|    std                  | 0.944       |
|    value_loss           | 12.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -54.2       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 34          |
|    time_elapsed         | 391         |
|    total_timesteps      | 4352        |
| train/                  |             |
|    approx_kl            | 0.024042498 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | -0.00171    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.61        |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00899    |
|    std                  | 0.946       |
|    value_loss           | 9.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -53.7       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 35          |
|    time_elapsed         | 407         |
|    total_timesteps      | 4480        |
| train/                  |             |
|    approx_kl            | 0.008619105 |
|    clip_fraction        | 0.0836      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.09       |
|    explained_variance   | -0.00393    |
|    learning_rate        | 0.0003      |
|    loss                 | 12.3        |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00384    |
|    std                  | 0.942       |
|    value_loss           | 24.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -53.1       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 36          |
|    time_elapsed         | 417         |
|    total_timesteps      | 4608        |
| train/                  |             |
|    approx_kl            | 0.009863865 |
|    clip_fraction        | 0.0539      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.07       |
|    explained_variance   | -0.000285   |
|    learning_rate        | 0.0003      |
|    loss                 | 10.9        |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.00347    |
|    std                  | 0.938       |
|    value_loss           | 21.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -52.7       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 37          |
|    time_elapsed         | 426         |
|    total_timesteps      | 4736        |
| train/                  |             |
|    approx_kl            | 0.014584496 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.06       |
|    explained_variance   | -0.00659    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.12        |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.00843    |
|    std                  | 0.935       |
|    value_loss           | 8.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -51.6       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 38          |
|    time_elapsed         | 438         |
|    total_timesteps      | 4864        |
| train/                  |             |
|    approx_kl            | 0.022208788 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.05       |
|    explained_variance   | -4.08e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 7.16        |
|    n_updates            | 370         |
|    policy_gradient_loss | 0.000943    |
|    std                  | 0.932       |
|    value_loss           | 14.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -51         |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 39          |
|    time_elapsed         | 456         |
|    total_timesteps      | 4992        |
| train/                  |             |
|    approx_kl            | 0.011197904 |
|    clip_fraction        | 0.0539      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.04       |
|    explained_variance   | -0.00219    |
|    learning_rate        | 0.0003      |
|    loss                 | 8.7         |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0081     |
|    std                  | 0.929       |
|    value_loss           | 17.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -50.5       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 40          |
|    time_elapsed         | 471         |
|    total_timesteps      | 5120        |
| train/                  |             |
|    approx_kl            | 0.016784023 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.03       |
|    explained_variance   | -0.000862   |
|    learning_rate        | 0.0003      |
|    loss                 | 4.78        |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00687    |
|    std                  | 0.928       |
|    value_loss           | 9.58        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -50         |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 41          |
|    time_elapsed         | 481         |
|    total_timesteps      | 5248        |
| train/                  |             |
|    approx_kl            | 0.053561434 |
|    clip_fraction        | 0.322       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.03       |
|    explained_variance   | -0.00145    |
|    learning_rate        | 0.0003      |
|    loss                 | 5.69        |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0156     |
|    std                  | 0.928       |
|    value_loss           | 11.4        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -49.5       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 42          |
|    time_elapsed         | 493         |
|    total_timesteps      | 5376        |
| train/                  |             |
|    approx_kl            | 0.003568681 |
|    clip_fraction        | 0.00234     |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.03       |
|    explained_variance   | -0.00183    |
|    learning_rate        | 0.0003      |
|    loss                 | 14.4        |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.00773    |
|    std                  | 0.927       |
|    value_loss           | 28.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -49         |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 43          |
|    time_elapsed         | 509         |
|    total_timesteps      | 5504        |
| train/                  |             |
|    approx_kl            | 0.005812025 |
|    clip_fraction        | 0.0461      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.03       |
|    explained_variance   | -0.00492    |
|    learning_rate        | 0.0003      |
|    loss                 | 8.85        |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00291    |
|    std                  | 0.926       |
|    value_loss           | 17.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -48.6       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 44          |
|    time_elapsed         | 521         |
|    total_timesteps      | 5632        |
| train/                  |             |
|    approx_kl            | 0.008712737 |
|    clip_fraction        | 0.0539      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | -0.00104    |
|    learning_rate        | 0.0003      |
|    loss                 | 4.15        |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00277    |
|    std                  | 0.925       |
|    value_loss           | 8.34        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -47.9       |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 45          |
|    time_elapsed         | 536         |
|    total_timesteps      | 5760        |
| train/                  |             |
|    approx_kl            | 0.014964777 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.02       |
|    explained_variance   | -0.00273    |
|    learning_rate        | 0.0003      |
|    loss                 | 6.79        |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.00591    |
|    std                  | 0.924       |
|    value_loss           | 13.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
